Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
964.81,1418.93,1384.61,1602.79,2112.3,1773.91
964.81,1418.93,1384.61,1602.79,2112.3,1773.91
964.81,1433.12,1384.61,1602.79,2112.3,1773.91
964.81,1433.12,1384.61,1618.82,2112.3,1773.91
964.81,1433.12,1384.61,1618.82,2112.3,1773.91
964.81,1433.12,1384.61,1618.82,2112.3,1791.65
964.81,1433.12,1384.61,1618.82,2112.3,1791.65
974.46,1433.12,1384.61,1618.82,2133.42,1791.65
974.46,1433.12,1384.61,1618.82,2133.42,1791.65
974.46,1433.12,1384.61,1618.82,2133.42,1791.65
974.46,1433.12,1384.61,1618.82,2133.42,1791.65
974.46,1433.12,1398.45,1618.82,2133.42,1791.65
974.46,1433.12,1398.45,1618.82,2133.42,1791.65
974.46,1433.12,1398.45,1618.82,2133.42,1791.65
974.46,1447.45,1398.45,1618.82,2133.42,1791.65
974.46,1447.45,1398.45,1635.01,2133.42,1791.65
974.46,1447.45,1398.45,1635.01,2133.42,1791.65
974.46,1447.45,1398.45,1635.01,2133.42,1809.57
974.46,1447.45,1398.45,1635.01,2133.42,1809.57
984.21,1447.45,1398.45,1635.01,2154.75,1809.57
984.21,1447.45,1398.45,1635.01,2154.75,1809.57
984.21,1447.45,1398.45,1635.01,2154.75,1809.57
984.21,1447.45,1398.45,1635.01,2154.75,1809.57
984.21,1447.45,1412.44,1635.01,2154.75,1809.57
984.21,1447.45,1412.44,1635.01,2154.75,1809.57
984.21,1447.45,1412.44,1635.01,2154.75,1809.57
984.21,1461.93,1412.44,1635.01,2154.75,1809.57
984.21,1461.93,1412.44,1651.36,2154.75,1809.57
984.21,1461.93,1412.44,1651.36,2154.75,1809.57
984.21,1461.93,1412.44,1651.36,2154.75,1827.67
984.21,1461.93,1412.44,1651.36,2154.75,1827.67
994.05,1461.93,1412.44,1651.36,2176.3,1827.67
994.05,1461.93,1412.44,1651.36,2176.3,1827.67
994.05,1461.93,1412.44,1651.36,2176.3,1827.67
994.05,1461.93,1412.44,1651.36,2176.3,1827.67
994.05,1461.93,1426.56,1651.36,2176.3,1827.67
994.05,1461.93,1426.56,1651.36,2176.3,1827.67
994.05,1461.93,1426.56,1651.36,2176.3,1827.67
994.05,1476.55,1426.56,1651.36,2176.3,1827.67
994.05,1476.55,1426.56,1667.87,2176.3,1827.67
994.05,1476.55,1426.56,1667.87,2176.3,1827.67
994.05,1476.55,1426.56,1667.87,2176.3,1845.94
994.05,1476.55,1426.56,1667.87,2176.3,1845.94
1003.99,1476.55,1426.56,1667.87,2198.06,1845.94
1003.99,1476.55,1426.56,1667.87,2198.06,1845.94
1003.99,1476.55,1426.56,1667.87,2198.06,1845.94
1003.99,1476.55,1426.56,1667.87,2198.06,1845.94
1003.99,1476.55,1440.83,1667.87,2198.06,1845.94
1003.99,1476.55,1440.83,1667.87,2198.06,1845.94
1003.99,1476.55,1440.83,1667.87,2198.06,1845.94
1003.99,1491.31,1440.83,1667.87,2198.06,1845.94
1003.99,1491.31,1440.83,1684.55,2198.06,1845.94
1003.99,1491.31,1440.83,1684.55,2198.06,1845.94
1003.99,1491.31,1440.83,1684.55,2198.06,1864.4
1003.99,1491.31,1440.83,1684.55,2198.06,1864.4
1014.03,1491.31,1440.83,1684.55,2220.04,1864.4
1014.03,1491.31,1440.83,1684.55,2220.04,1864.4
1014.03,1491.31,1440.83,1684.55,2220.04,1864.4
1014.03,1491.31,1440.83,1684.55,2220.04,1864.4
1014.03,1491.31,1455.23,1684.55,2220.04,1864.4
1014.03,1491.31,1455.23,1684.55,2220.04,1864.4
1014.03,1491.31,1455.23,1684.55,2220.04,1864.4
1014.03,1506.23,1455.23,1684.55,2220.04,1864.4
1014.03,1506.23,1455.23,1701.39,2220.04,1864.4
1014.03,1506.23,1455.23,1701.39,2220.04,1864.4
1014.03,1506.23,1455.23,1701.39,2220.04,1883.05
1014.03,1506.23,1455.23,1701.39,2220.04,1883.05
1024.17,1506.23,1455.23,1701.39,2242.24,1883.05
1024.17,1506.23,1455.23,1701.39,2242.24,1883.05
1024.17,1506.23,1455.23,1701.39,2242.24,1883.05
